OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
isrnort130520D	2	lGP024838.MP4	15378	rGP028337.MP4	16687	22.02700	Time seabed	14.38548	1539.46026	-290.96572	-3125.37927	4.39953	1.23923	9.30156	4.23243	3496.08274	26.69841	Mullidae	Parupeneus	forsskali	10994	1	AD	Passing			
isrnort130520D	4	lGP034838.MP4	1011	rGP038337.MP4	2320	26.90771	Time seabed	19.26619	3739.82728	1236.04642	-11759.96571	40.32130	14.75056	128.02756	4.37578	12402.05275	18.39954	Acanthuridae	Naso	unicornis	1265	1	AD	Passing			
isrnort130520D	5	lGP034838.MP4	1011	rGP038337.MP4	2320	26.90771	Time seabed	19.26619	4863.19344	1108.61899	-13357.18922	59.44368	15.35695	165.00598	17.49875	14258.12717	20.39443	Acanthuridae	Naso	unicornis	1265	1	AD	Passing			
isrnort130520D	6	lGP034838.MP4	1011	rGP038337.MP4	2320	26.90771	Time seabed	19.26619	3687.16254	288.82566	-12264.51309	41.47365	5.70180	139.20836	14.08570	12810.03003	16.75519	Acanthuridae	Naso	unicornis	1265	1	AD	Passing			
isrnort130520D	11	lGP044838.MP4	18220	rGP048337.MP4	19529	40.56831	Time seabed	32.92678	3466.94355	619.22801	-7856.33196	24.78359	5.44123	57.32293	2.81724	8609.59307	24.08040	Labridae	Choerodon	robustus	6926	1	AD	Passing			
isrnort130520E	3	lGP043220.MP4	23725	rGP043581.MP4	24875	42.09900	Time seabed	37.07704	-169.93240	-68.76881	-665.89399	0.24463	0.22082	0.47712	2.00405	690.66705	15.51228	Muraenidae	Gymnothorax	elegans	23130	1	AD	Passing			
isrnort130520E	5	lGP053220.MP4	4443	rGP053581.MP4	5593	45.61307	Time seabed	40.59111	788.99913	-295.11798	-1426.93237	1.13294	0.61761	2.14746	0.36295	1657.03055	30.66634	Ostraciidae	Tetrosomus	gibbosus	8129	1	AD	Passing			
isrnort130520F	11	lGOPR3221.MP4	20137	rGOPR3582.MP4	18970	5.59920	Time seabed	0.04977	703.92666	384.84219	-4855.66470	3.42363	2.37611	21.96454	1.58553	4921.49326	9.23555	Carangidae	Seriola	dumerili	1005	3	AD	Passing			
isrnort130520F	24	lGOPR3221.MP4	23945	rGOPR3582.MP4	22778	6.65804	Time seabed	1.10861	-2648.41322	577.99163	-8834.92679	21.92311	5.88449	73.70417	12.82902	9241.43378	16.99308	Lutjanidae	Paracaesio	sordida	192	14	AD	Passing	1		
isrnort130520G	0	lGOPR4839.MP4	18420	rGOPR8338.MP4	17292	5.12178	Time seabed	0.11372	-24.30503	-134.55223	-797.60032	0.27063	0.27431	0.65487	0.78837	809.23501	10.10830	Muraenidae	Gymnothorax	angusticauda	27319	1	AD	Passing			
