OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
israchz091121B	2	0	192.23085	1354.50467	1.41868	1200.14019
israchz091121B	2	1	317.07450	1329.64486	116.33158	1186.64486
israchz091121B	3	0	1101.67261	1030.48598	762.09129	994.13084
israchz091121B	3	1	924.33788	1018.41121	576.95383	966.42991
israchz091121B	4	0	554.23085	1159.27103	249.88458	1060.22430
israchz091121B	4	1	671.27177	1156.42991	404.52046	1071.58879
israchz091121B	5	0	319.45226	1028.56075	110.65687	924.93458
israchz091121B	5	1	516.64848	1041.34579	281.60756	951.92523
israchz091121B	6	0	1206.72088	1043.84112	684.75551	1008.35514
israchz091121B	6	1	999.59391	1126.23364	489.68730	1060.91589
israchz091121B	7	0	1540.87198	573.13084	2052.82686	586.81308
israchz091121B	8	0	890.09969	819.40187	663.26758	784.37383
israchz091121B	8	1	988.69780	817.98131	789.17524	789.70093
israchz091121B	9	0	1925.18048	675.82243	1983.06821	709.98131
israchz091121B	9	1	1817.71563	675.46729	1853.25918	705.00935
israchz091121B	10	0	1881.26023	724.54206	1779.63903	753.25234
israchz091121B	10	1	1769.53935	732.71028	1675.36621	757.51402
israchz091121B	11	0	1463.00420	1034.56075	837.61490	1016.71028
israchz091121B	11	1	1298.79224	985.19626	733.34208	958.82243
israchz091121B	12	0	1259.22036	902.86916	815.15110	880.22430
israchz091121B	12	1	1067.34418	878.71963	682.50472	847.55140
israchz091121B	13	0	1519.52886	734.24299	1204.22770	739.43925
israchz091121B	13	1	1591.88143	725.71963	1317.36726	736.59813
israchz091121B	14	0	869.98531	814.51402	640.65477	778.72897
israchz091121B	15	0	1323.67366	1003.80374	747.33788	976.23364
israchz091121B	15	1	1114.77335	965.44860	596.60336	927.22430
israchz091121B	16	0	1098.99370	1100.12150	654.87093	1051.71963
israchz091121B	16	1	966.34732	1109.00000	537.12067	1048.87850
israchz091121B	17	0	1105.18048	828.62617	817.25498	802.78505
israchz091121B	17	1	930.32844	847.09346	665.10178	812.01869
israchz091121B	18	0	618.46485	1235.59813	350.75026	1136.78505
israchz091121B	18	1	782.67681	1222.81308	500.42078	1137.49533
israchz091121B	19	0	1742.73033	1045.92523	1209.19412	1060.13084
israchz091121B	19	1	1494.81637	1042.37383	966.24554	1032.42991
israchz091121B	20	0	1957.65582	948.91589	1412.21301	984.74766
israchz091121B	20	1	1300.80797	997.21495	694.36201	971.96262
israchz091121C	0	0	1031.18888	1046.00935	445.46485	1009.74766
israchz091121C	0	1	351.64218	999.13084	26.95488	938.71963
israchz091121C	1	0	1654.17838	536.97196	1242.76180	539.81308
israchz091121C	1	1	2618.87933	571.06542	2068.43232	573.90654
israchz091121C	2	0	1122.60965	919.11215	143.28646	889.64486
israchz091121C	2	1	1531.18888	902.06542	953.35152	905.27103
israchz091121C	3	0	2363.51731	795.51402	1316.53305	818.24299
israchz091121C	3	1	1478.26233	738.69159	337.64533	724.48598
israchz091121C	4	0	1937.20042	944.76636	1575.20986	968.71028
israchz091121C	4	1	1436.40714	1031.42056	1024.76285	1031.21495
israchz091121C	5	0	264.38300	684.83178	432.49318	673.06542
